Prime,Target,Prime Syllables,Target Syllables,Target Type,Trial Type,isPrimed
GUN,Feam,1,1,pseudo,filler,FALSE
STEER,Jums,1,1,pseudo,filler,FALSE
BLOCK,Vo,1,1,pseudo,filler,FALSE
WEST,Reast,1,1,pseudo,filler,FALSE
TRICK,Lish,1,1,pseudo,filler,FALSE
DRAG,Harn,1,1,pseudo,filler,FALSE
COACH,Smace,1,1,pseudo,filler,FALSE
GUM,Rame,1,1,pseudo,filler,FALSE
QUILL,San,1,1,pseudo,filler,FALSE
LEARN,Twock,1,1,pseudo,filler,FALSE
DRUM,Frief,1,1,pseudo,filler,FALSE
JAW,Chawn,1,1,pseudo,filler,FALSE
DISH,Crog,1,1,pseudo,filler,FALSE
MINE,Leams,1,1,pseudo,filler,FALSE
TRAMP,Geve,1,1,pseudo,filler,FALSE
SHOOT,Glite,1,1,pseudo,filler,FALSE
SCOTCH,Labe,1,1,pseudo,filler,FALSE
RAW,Bimp,1,1,pseudo,filler,FALSE
SCARE,Libe,1,1,pseudo,filler,FALSE
MASK,Queak,1,1,pseudo,filler,FALSE
MUTE,Taw,1,1,pseudo,filler,FALSE
YOUTH,Grop,1,1,pseudo,filler,FALSE
HINT,Poun,1,1,pseudo,filler,FALSE
CURVE,Trond,1,1,pseudo,filler,FALSE
CHOOSE,Groil,1,1,pseudo,filler,FALSE
SCOLD,Grook,1,1,pseudo,filler,FALSE
CLOUD,Rosh,1,1,pseudo,filler,FALSE
DAD,Pag,1,1,pseudo,filler,FALSE
PINT,Fint,1,1,pseudo,filler,FALSE
CRUTCH,Fobe,1,1,pseudo,filler,FALSE
JOCK,Prash,1,1,pseudo,filler,FALSE
WINGS,Kint,1,1,pseudo,filler,FALSE
FAIL,Yelk,1,1,pseudo,filler,FALSE
SLURP,Stasps,1,1,pseudo,filler,FALSE
VALVE,Chames,1,1,pseudo,filler,FALSE
BREED,Paft,1,1,pseudo,filler,FALSE
KNEEL,Breek,1,1,pseudo,filler,FALSE
TREAT,Samp,1,1,pseudo,filler,FALSE
WERE,Pote,1,1,pseudo,filler,FALSE
